meal_name,Carbs,Proteins,Fats,Calories,Meal_Time,p_ratio,c_ratio,f_ratio,Food_Cluster,Meal_Plan
margarine with yoghurt,0.073,0.058,9.8,88.0,Snack,0.005840298056590474,0.007350719967777665,0.9868089819756318,3,Balanced
sunflower seed butter,3.7,2.8,8.8,99.0,Snack,0.1830065359477124,0.24183006535947713,0.5751633986928105,0,Weight Loss
hazelnut oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
cod liver fish oil,0.0,0.0,13.6,123.0,Snack,0.0,0.0,1.0,3,Balanced
sardine oil,0.0,0.0,13.6,123.0,Snack,0.0,0.0,1.0,3,Balanced
cupu assu oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
lard,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
sesame butter,3.8,2.9,8.1,94.0,Snack,0.19594594594594594,0.25675675675675674,0.5472972972972973,0,Weight Loss
margarine spread,0.1,0.082,6.7,59.0,Snack,0.011915140947399011,0.014530659691950014,0.9735541993606509,3,Balanced
lard vegetable oil,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
shortening,0.0,0.0,12.8,113.0,Snack,0.0,0.0,1.0,3,Balanced
vegetable oil spread,0.1,0.007,8.4,75.0,Snack,0.0008228517691313037,0.011755025273304338,0.9874221229575645,3,Balanced
cottonseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
soy margarine,0.0,0.0,9.9,88.0,Snack,0.0,0.0,1.0,3,Balanced
margarine with salt,0.017,0.031,11.3,100.0,Snack,0.0027317589002467395,0.0014980613323933732,0.9957701797673599,3,Balanced
margarine,0.018,0.037,11.5,102.0,Snack,0.003202077022933795,0.0015577672003461705,0.9952401557767201,3,Balanced
salmon fish oil,0.0,0.0,13.6,123.0,Dinner,0.0,0.0,1.0,3,Balanced
almond butter,3.0,3.4,8.9,98.0,Snack,0.2222222222222222,0.19607843137254902,0.5816993464052288,0,Weight Loss
sour cream shoprite,1.0,0.0,5.0,60.0,Snack,0.0,0.16666666666666666,0.8333333333333334,3,Balanced
ucuhuba butter oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
chicken fat,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
herring fish oil,0.0,0.0,13.6,123.0,Snack,0.0,0.0,1.0,3,Balanced
beef tallow,0.0,0.0,12.8,115.0,Snack,0.0,0.0,1.0,3,Balanced
grapeseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
almond oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
sunflower oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
cashew butter,4.4,2.8,7.9,94.0,Snack,0.18543046357615892,0.2913907284768212,0.5231788079470199,0,Weight Loss
canola oil,0.0,0.0,14.0,124.0,Snack,0.0,0.0,1.0,3,Balanced
teaseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
avocado oil,0.0,0.0,14.0,124.0,Snack,0.0,0.0,1.0,3,Balanced
vegetable palm kernel oil,0.0,0.0,13.6,117.0,Snack,0.0,0.0,1.0,3,Balanced
coconut oil,0.0,0.0,13.6,117.0,Snack,0.0,0.0,1.0,3,Balanced
safflower oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
vegetable oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
peanut oil,0.0,0.0,13.5,119.0,Snack,0.0,0.0,1.0,3,Balanced
poppyseed oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
flaxseed oil,0.0,0.086,13.6,120.0,Snack,0.006283793657752447,0.0,0.9937162063422476,3,Balanced
wheat germ oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
corn granola oil,0.0,0.0,14.0,124.0,Breakfast,0.0,0.0,1.0,3,Balanced
cocoa butter oil,0.0,0.0,13.6,120.0,Snack,0.0,0.0,1.0,3,Balanced
olive oil,0.0,0.0,13.5,119.0,Snack,0.0,0.0,1.0,3,Balanced
mustard oil,0.0,0.0,14.0,124.0,Snack,0.0,0.0,1.0,3,Balanced
rice bran oil,0.0,0.0,13.6,120.0,Lunch,0.0,0.0,1.0,3,Balanced
vegetable macaroni dry,62.9,11.0,0.9,308.0,Lunch,0.14705882352941174,0.8409090909090907,0.012032085561497324,1,HIIT
chow mein noodles,37.5,5.9,9.9,257.0,Lunch,0.11069418386491559,0.7035647279549719,0.1857410881801126,4,Endurance
chinese noodles,111.9,0.2,0.094,456.0,Lunch,0.0017826265219173932,0.9973795390127814,0.0008378344653011747,1,HIIT
vegetable macaroni cooked,35.7,6.1,0.1,172.0,Breakfast,0.1455847255369928,0.8520286396181384,0.0023866348448687348,1,HIIT
corn pasta dry,83.2,7.8,2.2,375.0,Lunch,0.08369098712446352,0.8927038626609443,0.023605150214592276,1,HIIT
egg noodles dry,27.1,5.4,1.7,146.0,Breakfast,0.15789473684210525,0.7923976608187134,0.049707602339181284,1,HIIT
whole wheat spaghetti dry,21.2,4.1,0.4,98.0,Snack,0.1595330739299611,0.8249027237354086,0.015564202334630354,1,HIIT
japanese soba noodles dry,21.1,4.1,0.2,95.0,Lunch,0.16141732283464563,0.8307086614173228,0.007874015748031496,1,HIIT
rice noodles dry,23.6,1.0,0.2,103.0,Lunch,0.04032258064516129,0.9516129032258065,0.008064516129032258,1,HIIT
spinach spaghetti dry,21.2,3.8,0.4,105.0,Snack,0.14960629921259844,0.8346456692913387,0.015748031496062995,1,HIIT
egg noodles cooked,20.1,3.6,1.7,110.0,Breakfast,0.14173228346456693,0.7913385826771654,0.06692913385826771,1,HIIT
japanese somen noodles cooked,48.5,7.0,0.3,231.0,Lunch,0.12544802867383514,0.8691756272401434,0.005376344086021506,1,HIIT
whole wheat macaroni dry,78.8,15.4,1.5,365.0,Lunch,0.16091954022988506,0.8234064785788923,0.01567398119122257,1,HIIT
macaroni raw,78.4,13.7,1.6,390.0,Lunch,0.1462113127001067,0.8367129135538954,0.017075773745997867,1,HIIT
spaghetti dry,21.1,3.7,0.4,105.0,Snack,0.14682539682539683,0.8373015873015874,0.015873015873015876,1,HIIT
fusilli cucina,3.4,0.0,0.4,100.0,Snack,0.0,0.8947368421052632,0.10526315789473685,1,HIIT
japanese somen noodles dry,21.0,3.2,0.2,101.0,Lunch,0.13114754098360656,0.8606557377049181,0.00819672131147541,1,HIIT
pasta cooked,57.3,11.8,2.4,301.0,Lunch,0.16503496503496504,0.8013986013986013,0.033566433566433566,1,HIIT
macaroni cooked,43.2,8.1,1.3,221.0,Breakfast,0.15399239543726234,0.8212927756653993,0.024714828897338403,1,HIIT
spinach egg noodles dry,26.7,5.6,1.7,145.0,Breakfast,0.16470588235294117,0.7852941176470588,0.049999999999999996,1,HIIT
japanese soba noodles cooked,24.4,5.8,0.1,113.0,Lunch,0.1914191419141914,0.8052805280528053,0.0033003300330033004,1,HIIT
rice noodles cooked,42.3,3.2,0.4,190.0,Lunch,0.06971677559912855,0.9215686274509803,0.008714596949891068,1,HIIT
whole wheat macaroni cooked,37.2,7.5,0.8,174.0,Breakfast,0.16483516483516483,0.8175824175824177,0.017582417582417582,1,HIIT
spaghetti cooked,71.0,13.3,2.1,363.0,Lunch,0.1539351851851852,0.8217592592592593,0.02430555555555556,1,HIIT
whole wheat spaghetti cooked,37.2,7.5,0.8,174.0,Breakfast,0.16483516483516483,0.8175824175824177,0.017582417582417582,1,HIIT
waffle,24.7,5.9,10.6,218.0,Breakfast,0.14320388349514562,0.5995145631067961,0.25728155339805825,4,Endurance
baked taco shell,8.3,0.8,2.7,61.0,Lunch,0.06779661016949153,0.7033898305084746,0.2288135593220339,4,Endurance
blueberry muffin,30.2,2.6,9.2,214.0,Breakfast,0.06190476190476191,0.719047619047619,0.21904761904761902,4,Endurance
bread crumbs,77.7,14.4,5.7,427.0,Lunch,0.14723926380368096,0.7944785276073619,0.05828220858895705,1,HIIT
warm cinnamon roll mcdonalds,15.0,2.0,5.1,113.0,Snack,0.09049773755656108,0.6787330316742081,0.23076923076923073,4,Endurance
corn muffin,33.7,3.9,5.5,201.0,Breakfast,0.09048723897911833,0.7819025522041764,0.12761020881670534,1,HIIT
tortilla,98.4,14.3,1.9,467.0,Lunch,0.12478184991273997,0.8586387434554974,0.01657940663176265,1,HIIT
croutons seasoned,25.4,4.3,7.3,186.0,Snack,0.11621621621621621,0.6864864864864865,0.19729729729729728,4,Endurance
buttermilk waffle,16.0,2.4,3.1,102.0,Breakfast,0.11162790697674418,0.7441860465116279,0.14418604651162792,1,HIIT
flour tortilla,24.1,3.9,3.7,146.0,Snack,0.12302839116719243,0.7602523659305994,0.11671924290220821,1,HIIT
glazed donut,6.2,0.8,3.0,55.0,Snack,0.08,0.62,0.3,4,Endurance
corn tortilla,10.7,1.4,0.7,52.0,Snack,0.109375,0.8359375,0.0546875,1,HIIT
muffin,23.6,3.9,6.5,169.0,Snack,0.11470588235294117,0.6941176470588236,0.19117647058823528,4,Endurance
donut with jelly filling,33.2,5.0,15.9,289.0,Snack,0.09242144177449169,0.6136783733826248,0.29390018484288355,4,Endurance
sweet cinnamon rolls,42.2,5.1,13.6,309.0,Breakfast,0.083743842364532,0.6929392446633825,0.22331691297208536,4,Endurance
french cruller donut,24.4,1.3,7.5,169.0,Snack,0.0391566265060241,0.7349397590361445,0.2259036144578313,4,Endurance
pancakes,10.8,2.4,3.7,86.0,Breakfast,0.1420118343195266,0.6390532544378698,0.21893491124260353,4,Endurance
chocolate donut,34.4,2.7,11.9,250.0,Snack,0.05510204081632653,0.7020408163265306,0.24285714285714285,4,Endurance
sweet cheese rolls,28.8,4.7,12.1,238.0,Snack,0.10307017543859649,0.631578947368421,0.26535087719298245,4,Endurance
eclair,11.2,4.4,19.2,234.0,Snack,0.12643678160919541,0.3218390804597701,0.5517241379310345,4,Endurance
donut with cream filling,25.5,5.4,20.8,307.0,Snack,0.10444874274661509,0.49323017408123787,0.402321083172147,4,Endurance
fruit toaster pastry,37.1,2.4,5.6,209.0,Breakfast,0.0532150776053215,0.8226164079822617,0.12416851441241684,1,HIIT
donut,22.9,2.3,10.3,192.0,Snack,0.0647887323943662,0.6450704225352112,0.29014084507042254,4,Endurance
pancakes whole wheat,12.9,3.7,2.9,92.0,Breakfast,0.18974358974358976,0.6615384615384615,0.14871794871794872,4,Endurance
keikitos,22.3,2.9,10.6,196.0,Snack,0.08100558659217877,0.622905027932961,0.29608938547486036,4,Endurance
chocolate coated donut,9.2,0.9,4.5,81.0,Snack,0.06164383561643836,0.6301369863013698,0.3082191780821918,4,Endurance
waffle toasted,16.3,2.4,3.2,103.0,Breakfast,0.10958904109589042,0.7442922374429225,0.14611872146118723,1,HIIT
cinnamon toaster pastry,34.1,2.6,7.1,206.0,Breakfast,0.0593607305936073,0.7785388127853881,0.16210045662100453,1,HIIT
wheat bran bread,17.2,3.2,1.2,89.0,Snack,0.14814814814814817,0.7962962962962964,0.05555555555555556,1,HIIT
white bread,14.3,2.6,1.0,77.0,Snack,0.14525139664804468,0.7988826815642458,0.055865921787709494,1,HIIT
oat bran bread,11.9,3.1,1.3,71.0,Snack,0.19018404907975459,0.7300613496932515,0.07975460122699386,1,HIIT
high protein bread dr zaks,15.3,0.0,3.0,152.0,Snack,0.0,0.8360655737704918,0.16393442622950818,1,HIIT
wheat bread,13.8,3.1,1.3,79.0,Snack,0.1703296703296703,0.7582417582417582,0.07142857142857142,1,HIIT
egg bread toasted,19.5,3.9,2.4,117.0,Breakfast,0.15116279069767444,0.7558139534883722,0.0930232558139535,1,HIIT
butter toastbrot ja,2.0,0.0,0.9,66.0,Breakfast,0.0,0.6896551724137931,0.3103448275862069,4,Endurance
vienna bread toasted,18.0,3.8,0.6,93.0,Breakfast,0.16964285714285712,0.8035714285714285,0.02678571428571428,1,HIIT
vienna bread,18.1,3.8,0.6,92.0,Snack,0.16888888888888887,0.8044444444444444,0.02666666666666666,1,HIIT
banana bread,31.1,2.5,6.0,186.0,Snack,0.06313131313131314,0.7853535353535354,0.15151515151515152,1,HIIT
rice bran bread,11.7,2.4,1.2,66.0,Lunch,0.1568627450980392,0.7647058823529412,0.0784313725490196,1,HIIT
white fibre wonder bread,18.0,3.5,1.0,95.0,Snack,0.15555555555555556,0.8,0.044444444444444446,1,HIIT
focaccia,20.4,5.0,4.5,142.0,Snack,0.16722408026755853,0.6822742474916388,0.1505016722408027,4,Endurance
oat bran bread toasted,11.8,3.1,1.3,70.0,Breakfast,0.19135802469135804,0.7283950617283952,0.08024691358024692,1,HIIT
rye bread,15.5,2.7,1.1,83.0,Snack,0.13989637305699482,0.8031088082901554,0.05699481865284974,1,HIIT
wheat germ bread,13.5,2.7,0.8,73.0,Snack,0.15882352941176472,0.7941176470588235,0.047058823529411764,1,HIIT
oatmeal bread,13.1,2.3,1.2,73.0,Breakfast,0.13855421686746988,0.7891566265060241,0.07228915662650603,1,HIIT
arepa,36.4,5.4,5.3,215.0,Breakfast,0.11464968152866244,0.772823779193206,0.11252653927813165,1,HIIT
raisin bread toasted,16.5,2.5,1.4,86.0,Breakfast,0.12254901960784315,0.8088235294117647,0.06862745098039216,1,HIIT
cracked wheat bread,14.0,2.5,1.1,74.0,Snack,0.14204545454545453,0.7954545454545454,0.0625,1,HIIT
garlic bread,17.9,3.6,7.1,151.0,Snack,0.12587412587412586,0.6258741258741258,0.24825174825174823,4,Endurance
rye bread toasted,15.4,2.7,1.0,82.0,Breakfast,0.14136125654450263,0.806282722513089,0.05235602094240837,1,HIIT
whole wheat bread,23.6,3.9,2.5,128.0,Snack,0.13,0.7866666666666667,0.08333333333333333,1,HIIT
whole wheat bread toasted,23.7,3.9,2.5,128.0,Breakfast,0.12956810631229237,0.7873754152823921,0.08305647840531562,1,HIIT
pan dulce bread,35.5,5.9,7.3,231.0,Breakfast,0.1211498973305955,0.7289527720739221,0.14989733059548255,1,HIIT
rice bran bread toasted,11.8,2.4,1.3,66.0,Breakfast,0.15483870967741933,0.7612903225806451,0.08387096774193548,1,HIIT
pita bread whole wheat,15.4,2.7,0.7,74.0,Snack,0.14361702127659576,0.8191489361702128,0.03723404255319149,1,HIIT
wheat germ bread toasted,13.6,2.7,0.8,73.0,Breakfast,0.15789473684210525,0.7953216374269005,0.04678362573099415,1,HIIT
pumpernickel bread,12.4,2.3,0.8,65.0,Snack,0.14838709677419354,0.8,0.05161290322580645,1,HIIT
frybread,73.4,10.2,18.6,502.0,Lunch,0.09980430528375732,0.7181996086105674,0.18199608610567514,1,HIIT
white bread toasted,15.4,2.5,1.1,83.0,Breakfast,0.13157894736842105,0.8105263157894737,0.05789473684210527,1,HIIT
piki bread,20.2,2.5,2.0,109.0,Snack,0.10121457489878542,0.8178137651821862,0.08097165991902834,1,HIIT
wheat bread toasted,13.4,3.1,1.0,75.0,Breakfast,0.17714285714285716,0.7657142857142857,0.05714285714285714,1,HIIT
pita bread,33.4,5.5,0.7,165.0,Breakfast,0.1388888888888889,0.8434343434343433,0.017676767676767676,1,HIIT
potato bread,15.1,4.0,1.0,85.0,Snack,0.1990049751243781,0.7512437810945273,0.04975124378109452,1,HIIT
egg bread,19.1,3.8,2.4,115.0,Breakfast,0.15019762845849802,0.7549407114624507,0.09486166007905138,1,HIIT
oatmeal bread toasted,13.2,2.3,1.2,73.0,Breakfast,0.1377245508982036,0.7904191616766467,0.0718562874251497,1,HIIT
cheese bread,21.5,5.0,10.0,196.0,Snack,0.136986301369863,0.589041095890411,0.273972602739726,4,Endurance
pumpernickel bread toasted,15.1,2.8,1.0,80.0,Breakfast,0.14814814814814814,0.798941798941799,0.052910052910052914,1,HIIT
raisin bread,16.7,2.5,1.4,88.0,Snack,0.12135922330097089,0.8106796116504855,0.06796116504854369,1,HIIT
pumpernickel roll,14.8,3.0,0.8,77.0,Snack,0.16129032258064516,0.7956989247311828,0.04301075268817204,1,HIIT
cinnamon raisin bagel,14.4,2.5,0.4,71.0,Breakfast,0.14450867052023122,0.8323699421965319,0.023121387283237,1,HIIT
english muffin,25.5,5.0,1.1,127.0,Snack,0.1582278481012658,0.8069620253164557,0.03481012658227848,1,HIIT
rye dinner roll,22.8,4.4,1.5,123.0,Dinner,0.15331010452961671,0.7944250871080138,0.05226480836236933,1,HIIT
english muffin whole wheat,26.7,5.8,1.4,134.0,Snack,0.1710914454277286,0.7876106194690266,0.04129793510324484,1,HIIT
dinner roll whole wheat,14.3,2.4,1.3,74.0,Dinner,0.13333333333333333,0.7944444444444445,0.07222222222222223,1,HIIT
dinner roll,12.9,2.4,1.8,76.0,Dinner,0.14035087719298245,0.7543859649122806,0.10526315789473684,1,HIIT
hotdog roll,21.1,4.1,1.6,117.0,Snack,0.15298507462686564,0.7873134328358208,0.059701492537313425,1,HIIT
bagel,47.9,10.0,1.5,245.0,Breakfast,0.16835016835016836,0.8063973063973064,0.025252525252525252,1,HIIT
oat bran bagel,36.8,7.4,0.8,176.0,Breakfast,0.16444444444444448,0.8177777777777778,0.01777777777777778,1,HIIT
pain au chocolat de la boulangerie,0.0,0.0,12.0,235.0,Snack,0.0,0.0,1.0,3,Balanced
egg bagel,13.8,2.8,0.5,72.0,Breakfast,0.1637426900584795,0.8070175438596491,0.029239766081871343,1,HIIT
english muffin toasted,27.4,5.4,1.1,140.0,Breakfast,0.15929203539823011,0.8082595870206489,0.03244837758112095,1,HIIT
english muffin whole wheat toasted,26.9,5.9,1.4,135.0,Breakfast,0.17251461988304095,0.7865497076023392,0.04093567251461989,1,HIIT
biscuit,45.0,7.1,16.5,357.0,Breakfast,0.10349854227405249,0.6559766763848397,0.24052478134110788,4,Endurance
french roll,19.1,3.3,1.6,105.0,Snack,0.13749999999999998,0.7958333333333333,0.06666666666666667,1,HIIT
oat bran dinner roll,13.3,3.1,1.5,78.0,Dinner,0.17318435754189943,0.7430167597765363,0.08379888268156424,1,HIIT
pecan shortbread cookies,8.2,0.7,4.6,76.0,Snack,0.05185185185185186,0.6074074074074074,0.34074074074074073,4,Endurance
oatmeal cookies,17.2,1.6,4.5,113.0,Breakfast,0.06866952789699571,0.7381974248927038,0.19313304721030042,1,HIIT
chocolate wafers,81.1,7.4,15.9,485.0,Snack,0.07088122605363985,0.7768199233716474,0.15229885057471265,1,HIIT
vanilla wafers low fat,58.9,4.0,12.2,353.0,Breakfast,0.053262316910785625,0.7842876165113183,0.16245006657789615,1,HIIT
chocolate chip cookies mcdonalds,18.7,1.6,6.4,136.0,Snack,0.059925093632958795,0.7003745318352059,0.23970037453183518,4,Endurance
biscotti abbracci mulino bianco,0.8,0.4,2.6,54.0,Snack,0.10526315789473684,0.21052631578947367,0.6842105263157895,3,Balanced
chocolate chip cookie,9.3,0.5,2.8,63.0,Snack,0.03968253968253968,0.738095238095238,0.22222222222222218,4,Endurance
brownie,38.3,2.9,9.8,243.0,Breakfast,0.056862745098039215,0.7509803921568627,0.19215686274509805,1,HIIT
oatmeal cookies with raisins,10.3,1.0,2.4,65.0,Breakfast,0.072992700729927,0.7518248175182481,0.1751824817518248,1,HIIT
peanut butter sandwich cookies,9.2,1.2,3.0,67.0,Snack,0.08955223880597016,0.6865671641791045,0.2238805970149254,4,Endurance
sugar cookies,10.2,0.8,3.2,72.0,Snack,0.05633802816901409,0.7183098591549295,0.22535211267605637,4,Endurance
chocolate covered graham crackers,9.3,0.8,3.2,68.0,Snack,0.06015037593984962,0.6992481203007519,0.24060150375939848,4,Endurance
raisin cookies,10.2,0.6,2.0,60.0,Snack,0.046875,0.796875,0.15625,1,HIIT
graham crackers,64.5,5.8,8.5,355.0,Snack,0.07360406091370558,0.8185279187817259,0.10786802030456853,1,HIIT
peanut butter cookies,11.8,1.8,4.8,95.0,Snack,0.09782608695652173,0.6413043478260869,0.26086956521739124,4,Endurance
vanilla sandwich cookie,10.8,0.7,3.0,72.0,Snack,0.04827586206896552,0.7448275862068966,0.20689655172413793,1,HIIT
sugar wafers with creme filling,7.1,0.4,2.3,51.0,Snack,0.04081632653061224,0.7244897959183673,0.23469387755102036,4,Endurance
cheese puffs,18.6,2.1,12.8,197.0,Snack,0.06268656716417911,0.555223880597015,0.382089552238806,4,Endurance
trail mix,13.5,4.1,8.8,139.0,Snack,0.15530303030303028,0.5113636363636364,0.3333333333333333,4,Endurance
corn cones,17.8,1.6,7.6,144.0,Snack,0.05925925925925926,0.6592592592592593,0.28148148148148144,4,Endurance
french toast sticks,8.9,1.3,3.8,73.0,Breakfast,0.09285714285714286,0.6357142857142858,0.2714285714285714,4,Endurance
crackers,9.8,1.1,4.2,82.0,Snack,0.0728476821192053,0.6490066225165563,0.2781456953642384,4,Endurance
sesame sticks,4.7,1.1,3.7,54.0,Snack,0.11578947368421054,0.4947368421052632,0.38947368421052636,4,Endurance
oriental rice cracker mix,14.6,4.9,7.2,143.0,Snack,0.18352059925093636,0.5468164794007491,0.2696629213483146,4,Endurance
breadsticks,17.1,3.0,2.4,103.0,Snack,0.13333333333333333,0.76,0.10666666666666666,1,HIIT
matzo crackers whole wheat,22.1,3.7,0.4,98.0,Snack,0.14122137404580154,0.8435114503816795,0.015267175572519085,1,HIIT
matzo crackers with egg,22.0,3.4,0.6,109.0,Breakfast,0.13076923076923078,0.8461538461538461,0.023076923076923075,1,HIIT
crackers whole wheat,19.5,3.0,4.0,120.0,Snack,0.11320754716981132,0.7358490566037735,0.1509433962264151,1,HIIT
tropical trail mix,91.8,8.8,23.9,619.0,Breakfast,0.07068273092369479,0.7373493975903614,0.19196787148594377,1,HIIT
soft pretzels,79.8,9.4,3.6,389.0,Breakfast,0.10129310344827587,0.8599137931034483,0.03879310344827586,1,HIIT
corn tostada shell,7.9,0.8,2.9,58.0,Snack,0.06896551724137931,0.6810344827586207,0.24999999999999997,4,Endurance
matzo crackers,23.4,2.8,0.4,111.0,Snack,0.10526315789473685,0.8796992481203008,0.015037593984962409,1,HIIT
trail mix with chocolate chips,65.6,20.7,46.6,707.0,Snack,0.15575620767494355,0.4936042136945071,0.3506395786305493,4,Endurance
cracker meal,93.0,10.7,2.0,440.0,Snack,0.10122989593188268,0.879848628192999,0.01892147587511826,1,HIIT
puffed rice,34.1,2.4,0.2,153.0,Lunch,0.0653950953678474,0.9291553133514986,0.005449591280653951,1,HIIT
melba toast crackers,23.0,3.6,1.0,117.0,Breakfast,0.13043478260869565,0.8333333333333333,0.036231884057971016,1,HIIT
matzo crackers with egg onion,21.6,2.8,1.1,109.0,Breakfast,0.10980392156862744,0.8470588235294118,0.043137254901960784,1,HIIT
cornnuts,20.3,2.4,4.4,126.0,Snack,0.08856088560885608,0.7490774907749077,0.16236162361623616,1,HIIT
bagel chips,116.1,21.6,26.5,789.0,Breakfast,0.13154689403166872,0.7070645554202193,0.16138855054811208,1,HIIT
pretzels,24.1,3.0,0.9,115.0,Snack,0.10714285714285714,0.8607142857142858,0.03214285714285715,1,HIIT
potato raw,37.2,4.3,0.2,164.0,Breakfast,0.10311750599520382,0.8920863309352518,0.004796163069544364,1,HIIT
gatto di patate home made,4.0,0.0,9.4,202.0,Snack,0.0,0.29850746268656714,0.7014925373134329,3,Balanced
baked potato,36.6,4.3,0.2,161.0,Breakfast,0.10462287104622871,0.8905109489051095,0.004866180048661801,1,HIIT
potato sticks,19.2,2.4,12.4,188.0,Snack,0.07058823529411765,0.5647058823529412,0.3647058823529412,4,Endurance
potato cooked,12.1,1.1,0.006,52.0,Snack,0.08329547175526276,0.9162501893078904,0.0004543389368468878,1,HIIT
potato ham chowder soup,13.4,6.5,12.5,192.0,Lunch,0.2006172839506173,0.41358024691358025,0.38580246913580246,4,Endurance
russet potato raw,66.7,7.9,0.3,292.0,Breakfast,0.1054739652870494,0.890520694259012,0.004005340453938584,1,HIIT
russet potato baked,64.1,7.9,0.4,290.0,Breakfast,0.10911602209944751,0.8853591160220993,0.0055248618784530384,1,HIIT
potato scalloped,26.4,7.0,9.0,216.0,Snack,0.16509433962264153,0.6226415094339622,0.21226415094339623,4,Endurance
mashed potatoes,35.5,4.0,6.8,215.0,Breakfast,0.08639308855291578,0.7667386609071275,0.1468682505399568,1,HIIT
mashed potato with milk and butter,35.3,3.9,8.9,237.0,Breakfast,0.08108108108108109,0.7338877338877339,0.18503118503118507,1,HIIT
red potato raw,33.9,4.0,0.3,149.0,Breakfast,0.10471204188481677,0.8874345549738221,0.007853403141361258,1,HIIT
potato pancake,6.1,1.3,3.2,59.0,Breakfast,0.12264150943396228,0.5754716981132075,0.30188679245283023,4,Endurance
potato puffs,35.5,2.6,11.0,243.0,Breakfast,0.05295315682281059,0.7230142566191445,0.2240325865580448,4,Endurance
red potato baked,16.7,2.0,0.1,74.0,Snack,0.10638297872340426,0.8882978723404255,0.005319148936170213,1,HIIT
potatoes canned,29.7,3.6,0.3,132.0,Snack,0.10714285714285716,0.8839285714285715,0.00892857142857143,1,HIIT
hash brown potato,15.3,1.4,9.0,144.0,Snack,0.054474708171206226,0.5953307392996109,0.3501945525291829,4,Endurance
baked chips lays,0.0,0.0,2.0,130.0,Snack,0.0,0.0,1.0,3,Balanced
corn chips,17.2,1.9,10.0,162.0,Snack,0.06529209621993128,0.5910652920962199,0.3436426116838488,4,Endurance
nacho cheese tortilla chips low fat,18.5,2.4,1.0,90.0,Snack,0.10958904109589042,0.8447488584474886,0.04566210045662101,1,HIIT
corn chips unsalted,50.5,5.8,29.4,490.0,Snack,0.06767794632438741,0.58926487747958,0.3430571761960327,4,Endurance
potato chips fat free,190.1,21.9,1.4,860.0,Snack,0.10262417994376756,0.8908153701968134,0.006560449859418931,1,HIIT
sweet chilli kettle baked chips,2.1,2.0,2.2,99.0,Snack,0.31746031746031744,0.33333333333333337,0.34920634920634924,0,Weight Loss
potato chips reduced fat,113.7,12.1,35.4,801.0,Snack,0.0750620347394541,0.7053349875930521,0.21960297766749381,4,Endurance
onion snacks,19.5,2.3,6.8,150.0,Snack,0.0804195804195804,0.6818181818181818,0.23776223776223773,4,Endurance
potato chips cheese,98.1,14.5,46.2,843.0,Snack,0.09130982367758186,0.6177581863979849,0.29093198992443325,4,Endurance
tortilla chips low fat,22.6,3.1,1.6,117.0,Snack,0.11355311355311354,0.8278388278388278,0.0586080586080586,1,HIIT
potato chips,15.9,2.1,10.4,161.0,Snack,0.073943661971831,0.5598591549295775,0.36619718309859156,4,Endurance
tortilla chips,20.3,2.1,6.2,142.0,Snack,0.07342657342657342,0.7097902097902098,0.21678321678321677,4,Endurance
sweet potato chips,15.9,0.8,9.1,149.0,Snack,0.031007751937984503,0.616279069767442,0.35271317829457366,4,Endurance
nacho cheese tortilla chips,18.2,2.2,8.2,156.0,Snack,0.07692307692307694,0.6363636363636364,0.2867132867132867,4,Endurance
vegetable chips,17.1,1.5,6.6,134.0,Snack,0.05952380952380952,0.6785714285714286,0.26190476190476186,4,Endurance
pita chips,20.5,3.5,4.6,137.0,Snack,0.12237762237762237,0.7167832167832168,0.1608391608391608,1,HIIT
adobo fresco,53.6,5.8,60.2,780.0,Breakfast,0.048494983277591976,0.4481605351170569,0.5033444816053512,4,Endurance
creamy ranch sauce mcdonalds,1.0,0.3,14.7,132.0,Snack,0.01875,0.0625,0.91875,3,Balanced
coleslaw dressing reduced fat,6.8,0.0,3.4,56.0,Snack,0.0,0.6666666666666667,0.33333333333333337,4,Endurance
guava sauce cooked,22.6,0.8,0.3,86.0,Snack,0.03375527426160337,0.9535864978902953,0.012658227848101264,1,HIIT
pizza sauce,21.8,5.5,2.9,136.0,Lunch,0.18211920529801326,0.7218543046357616,0.09602649006622517,1,HIIT
