meal_name,Carbs,Proteins,Fats,Calories,Meal_Time,p_ratio,c_ratio,f_ratio,Food_Cluster,Meal_Plan
chicken breast cooked,0.0,17.3,4.5,114.0,Dinner,0.7935779816513762,0.0,0.20642201834862384,2,Build Muscle
chicken neck raw,0.0,7.0,13.1,149.0,Snack,0.34825870646766166,0.0,0.6517412935323382,0,Weight Loss
duck egg,1.0,9.0,9.6,130.0,Breakfast,0.4591836734693877,0.0510204081632653,0.48979591836734687,0,Weight Loss
pheasant breast raw,0.0,88.7,11.8,484.0,Dinner,0.882587064676617,0.0,0.1174129353233831,2,Build Muscle
squab meat raw,0.0,36.8,47.4,585.0,Dinner,0.43705463182897863,0.0,0.5629453681710215,0,Weight Loss
chicken drumstick raw,0.1,23.4,12.4,211.0,Lunch,0.6518105849582173,0.0027855153203342623,0.34540389972144847,2,Build Muscle
turkey meat roasted,0.031,42.8,11.1,284.0,Dinner,0.7936066455285458,0.000574808551667872,0.2058185459197864,2,Build Muscle
chicken breast raw,0.0,36.3,16.1,299.0,Dinner,0.6927480916030534,0.0,0.3072519083969466,2,Build Muscle
ground chicken cooked,0.0,58.4,27.4,474.0,Dinner,0.6806526806526807,0.0,0.31934731934731936,2,Build Muscle
turkey wing cooked,0.0,50.9,23.1,426.0,Dinner,0.6878378378378378,0.0,0.3121621621621622,2,Build Muscle
crispy chicken strips tyson,0.0,0.0,6.0,145.0,Snack,0.0,0.0,1.0,3,Balanced
eggnog,20.4,11.6,10.6,224.0,Breakfast,0.27230046948356806,0.4788732394366197,0.2488262910798122,4,Endurance
beer light,5.4,0.8,0.0,96.0,Snack,0.12903225806451613,0.8709677419354839,0.0,1,HIIT
weizenbier erdinger,0.0,0.0,18.0,220.0,Snack,0.0,0.0,1.0,3,Balanced
beer,11.7,1.5,0.0,142.0,Snack,0.11363636363636365,0.8863636363636364,0.0,1,HIIT
root beer,52.3,0.0,0.0,202.0,Breakfast,0.0,1.0,0.0,1,HIIT
whiskey sour,13.9,0.0,0.0,158.0,Snack,0.0,1.0,0.0,1,HIIT
